NOME_DO_CURSO,MODALIDADE,TURNO,CIDADE,LOCAL,PRECO,PRECO_COM_DESCONTO
Banco de Dados,TOTAL EAD,VIRTUAL,PORTO ALEGRE,CENTRO,452.0,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,PORTO ALEGRE,CENTRO,452.0,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,PORTO ALEGRE,CENTRO,452.0,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,SAO JOSE DO NORTE,ALMIRANTE TAMANDARE,423.0,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,SAO JOSE DO NORTE,ALMIRANTE TAMANDARE,423.0,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,SAO JOSE DO NORTE,ALMIRANTE TAMANDARE,423.0,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,PORTO ALEGRE,JARDIM LINDOIA,452.0,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,PORTO ALEGRE,JARDIM LINDOIA,452.0,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,PORTO ALEGRE,JARDIM LINDOIA,452.0,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,GRAVATAÍ,VILA PROVÍNCIA,464.0,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,GRAVATAÍ,VILA PROVÍNCIA,464.0,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,GRAVATAÍ,VILA PROVÍNCIA,464.0,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,PORTO ALEGRE,AZENHA,452.0,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,PORTO ALEGRE,AZENHA,452.0,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,PORTO ALEGRE,AZENHA,452.0,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,ALVORADA,BELA VISTA,464.33,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,ALVORADA,BELA VISTA,464.33,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,ALVORADA,BELA VISTA,464.33,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,ESTANCIA VELHA,BELA VISTA,446.5,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,ESTANCIA VELHA,BELA VISTA,446.5,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,ESTANCIA VELHA,BELA VISTA,446.5,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,TEUTONIA,CANABARRO,400.0,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,TEUTONIA,CANABARRO,400.0,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,TEUTONIA,CANABARRO,400.0,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,PORTO ALEGRE,CAVALHADA,452.0,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,PORTO ALEGRE,CAVALHADA,452.0,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,PORTO ALEGRE,CAVALHADA,452.0,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,BAGÉ,CENTRO,419.5,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,BAGÉ,CENTRO,419.5,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,BAGÉ,CENTRO,419.5,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,BENTO GONÇALVES,CENTRO,407.67,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,BENTO GONÇALVES,CENTRO,407.67,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,BENTO GONÇALVES,CENTRO,407.67,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,BOQUEIRAO DO LEAO,CENTRO,394.83,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,BOQUEIRAO DO LEAO,CENTRO,394.83,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,BOQUEIRAO DO LEAO,CENTRO,394.83,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,CAMAQUA,CENTRO,464.83,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,CAMAQUA,CENTRO,464.83,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,CAMAQUA,CENTRO,464.83,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,CAMPINAS DO SUL,CENTRO,394.83,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,CAMPINAS DO SUL,CENTRO,394.83,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,CAMPINAS DO SUL,CENTRO,394.83,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,CANELA,CENTRO,436.67,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,CANELA,CENTRO,436.67,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,CANELA,CENTRO,436.67,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,CANOAS,CENTRO,464.17,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,CANOAS,CENTRO,464.17,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,CANOAS,CENTRO,464.17,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,CARAZINHO,CENTRO,439.0,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,CARAZINHO,CENTRO,439.0,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,CARAZINHO,CENTRO,439.0,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,CARLOS BARBOSA,CENTRO,392.33,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,CARLOS BARBOSA,CENTRO,392.33,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,CARLOS BARBOSA,CENTRO,392.33,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,CAXIAS DO SUL,CENTRO,405.67,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,CAXIAS DO SUL,CENTRO,405.67,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,CAXIAS DO SUL,CENTRO,405.67,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,CACAPAVA DO SUL,CENTRO,380.67,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,CACAPAVA DO SUL,CENTRO,380.67,139.0
